Country,HappinessScore2015,HappinessScore2016,HappinessScore2017,HappinessScore2018,HappinessScore2019
Hong Kong,5.474,5.457999999999999,void,5.43,5.43
Estonia,5.428999999999999,5.517,5.611000061,5.739,5.893
Indonesia,5.399,5.314,5.262000083999999,5.093,5.192
Vietnam,5.36,5.061,5.073999882,5.103,5.175
Turkey,5.332000000000001,5.388999999999999,5.5,5.483,5.372999999999999
Kyrgyzstan,5.2860000000000005,5.185,5.004000187,5.131,5.261
Nigeria,5.268,4.875,5.073999882,5.155,5.265
Bhutan,5.252999999999999,5.196000000000001,5.011000156000001,5.082,5.082
Azerbaijan,5.212000000000001,5.291,5.234000206,5.2010000000000005,5.207999999999999
Pakistan,5.194,5.132000000000001,5.269000053,5.472,5.653
Jordan,5.192,5.303,5.335999966,5.1610000000000005,4.906000000000001
Montenegro,5.192,5.1610000000000005,5.236999989,5.347,5.523
China,5.14,5.245,5.2729997630000005,5.246,5.191
Zambia,5.129,4.795,4.513999939,4.377,4.107
Romania,5.124,5.528,5.8249998089999995,5.945,6.07
Serbia,5.122999999999999,5.1770000000000005,5.394999981000001,5.398,5.603
Portugal,5.102,5.122999999999999,5.195000172,5.41,5.693
Latvia,5.098,5.56,5.849999905,5.933,5.94
Philippines,5.073,5.279,5.429999828,5.524,5.631
Somaliland region,5.0569999999999995,void,void,void,void
Morocco,5.013,5.151,5.235000134,5.254,5.207999999999999
Macedonia,5.007,5.121,5.1750001910000005,5.185,void
Mozambique,4.971,void,4.5500001910000005,4.417,4.466
Albania,4.959,4.655,4.644000053,4.586,4.718999999999999
Bosnia and Herzegovina,4.949,5.162999999999999,5.18200016,5.129,5.386
Lesotho,4.898,void,3.808000088,3.8080000000000003,3.802
Dominican Republic,4.885,5.155,5.230000018999999,5.3020000000000005,5.425
Laos,4.876,4.876,void,4.623,4.796
Mongolia,4.874,4.907,4.954999924,5.125,5.285
Swaziland,4.867,void,void,void,4.212
Greece,4.857,5.033,5.2270002369999995,5.358,5.287000000000001
Lebanon,4.8389999999999995,5.129,5.224999905,5.358,5.197
Hungary,4.8,5.145,5.323999882,5.62,5.757999999999999
Honduras,4.788,4.871,5.181000233,5.504,5.86
Tajikistan,4.7860000000000005,4.996,5.040999889,5.199,5.4670000000000005
Tunisia,4.739,5.045,4.804999828,4.592,4.461
Palestinian Territories,4.715,4.754,4.775000095,4.743,4.696000000000001
Bangladesh,4.694,4.643,4.607999802,4.5,4.456
Iran,4.686,4.813,4.691999912,4.707,4.548
Ukraine,4.681,4.324,4.096000195,4.103,4.332
Iraq,4.677,4.575,4.497000217,4.456,4.437
South Africa,4.6419999999999995,4.459,4.828999996,4.724,4.7219999999999995
Ghana,4.633,4.276,4.1199998860000004,4.657,4.996
Zimbabwe,4.61,4.1930000000000005,3.875,3.6919999999999997,3.6630000000000003
Liberia,4.571000000000001,3.622,3.5329999919999997,3.495,3.975
India,4.565,4.404,4.315000057,4.19,4.015
Sudan,4.55,4.138999999999999,4.138999939,4.138999999999999,void
Haiti,4.518,4.0280000000000005,3.6029999260000003,3.582,3.597
Congo (Kinshasa),4.5169999999999995,4.272,4.28000021,4.245,4.418
Nepal,4.513999999999999,4.793,4.961999893,4.88,4.913
Ethiopia,4.512,4.508,4.460000038,4.35,4.2860000000000005
Sierra Leone,4.507,4.635,4.709000111,4.571000000000001,4.374
Mauritania,4.436,4.2010000000000005,4.291999817,4.356,4.49
Kenya,4.419,4.356,4.552999973,4.41,4.5089999999999995
Djibouti,4.369,void,void,void,void
Armenia,4.35,4.36,4.375999928,4.321000000000001,4.559
Botswana,4.332,3.9739999999999998,3.766000032,3.59,3.488
Myanmar,4.3069999999999995,4.395,4.545000076,4.308,4.36
Georgia,4.297,4.252,4.285999775,4.34,4.519
Malawi,4.292,4.156000000000001,3.970000029,3.5869999999999997,3.41
Sri Lanka,4.271,4.415,4.440000057,4.471,4.3660000000000005
Cameroon,4.252,4.513,4.695000172,4.975,5.044
Bulgaria,4.218,4.217,4.714000225,4.933,5.011
Egypt,4.194,4.362,4.735000134,4.419,4.166
Yemen,4.077,3.7239999999999998,3.592999935,3.355,3.38
Angola,4.033,3.866,3.7950000760000004,3.795,void
Mali,3.995,4.073,4.190000057,4.447,4.39
Congo (Brazzaville),3.989,4.236000000000001,4.290999889,4.559,4.812
Comoros,3.9560000000000004,3.9560000000000004,void,void,3.9730000000000003
Uganda,3.931,3.739,4.0809998510000005,4.1610000000000005,4.189
Senegal,3.904,4.218999999999999,4.534999847,4.631,4.681
Gabon,3.8960000000000004,4.121,4.465000153,4.758,4.7989999999999995
Niger,3.845,3.8560000000000003,4.027999878,4.166,4.628
Cambodia,3.819,3.907,4.168000221000001,4.433,4.7
Tanzania,3.781,3.6660000000000004,3.348999977,3.303,3.2310000000000003
Madagascar,3.681,3.695,3.644000053,3.7739999999999996,3.9330000000000003
Central African Republic,3.678,void,2.6930000780000003,3.083,3.083
Chad,3.667,3.763,3.9360001089999996,4.301,4.35
Guinea,3.656,3.6069999999999998,3.5069999689999998,3.964,4.534
Ivory Coast,3.655,3.9160000000000004,4.179999828,4.671,4.944
Burkina Faso,3.5869999999999997,3.739,4.032000065,4.4239999999999995,4.587
Afghanistan,3.575,3.36,3.79399991,3.6319999999999997,3.2030000000000003
Rwanda,3.465,3.515,3.4709999560000004,3.408,3.3339999999999996
Benin,3.34,3.484,3.657000065,4.141,4.883
Syria,3.0060000000000002,3.069,3.461999893,3.4619999999999997,3.4619999999999997
Burundi,2.905,2.905,2.904999971,2.905,3.775
Togo,2.839,3.303,3.4949998860000004,3.9989999999999997,4.085
Puerto Rico,void,7.039,void,void,void
Belize,void,5.956,5.9559998510000005,5.956,void
Somalia,void,5.44,5.151000023,4.982,4.668
Somaliland Region,void,5.0569999999999995,void,void,void
Namibia,void,4.574,4.573999882,4.441,4.638999999999999
South Sudan,void,3.832,3.59100008,3.2539999999999996,2.853
Taiwan Province of China,void,void,6.421999931,void,void
"Hong Kong S.A.R., China",void,void,5.472000122000001,void,void
Trinidad & Tobago,void,void,void,6.192,6.192
Northern Cyprus,void,void,void,5.835,5.718
North Macedonia,void,void,void,void,5.274
Gambia,void,void,void,void,4.516
